address,inTx,outTx,inBTC,outBTC,inUSD,outUSD,paying,paid,dateFirstTx,dateLastTx,lifetime
1Ee9ZiZkmygAXUiyeYKRSA3tLe4vNYEAgA,1070,4174,48057774514,48057774514,155540.7142267705,149619.96350121152,1035,481,Sat Aug 16 15:21:25 CEST 2014,Fri Feb 13 16:08:46 CET 2015,181
1MzNQ7HV8dQ6XQ52zBGYkCZkkWv2Pd3VG6,491,826,17874351332,17874055035,64766.55205794603,64529.284850972625,489,233,Wed Sep 24 23:53:45 CEST 2014,Thu Jan 29 13:34:24 CET 2015,126
1FyedPPk923wRfmVphV1CLt3bVLGxHZXpK,9791,9945,872118851011,872104542465,4279844.917270827,4292963.146115216,1430,593,Mon Sep 02 16:17:41 CEST 2013,Sun Jul 20 12:58:21 CEST 2014,320
145SmDToAhtfcBQhNxfeM8hnS6CBeiRukY,6901,17805,309283834365,309283824365,1896145.3484871257,1888323.769412265,6833,1453,Mon Dec 16 20:19:56 CET 2013,Tue Nov 25 19:37:46 CET 2014,343
1FuypAdeC7mSmYBsQLbG9XV261bnfgWbgB,48,198,1306138495,1306138495,7834.52551680337,7754.037092902129,47,64,Thu Feb 27 13:21:31 CET 2014,Thu Mar 27 08:19:45 CET 2014,27
1F8ZKpjMDpnpF79mZ1pxZRoNKZgXm4Tf1d,1443,186,44597177613,44596777613,265999.54930753144,263251.5093742488,301,287,Tue Feb 18 15:05:16 CET 2014,Mon Apr 14 18:17:55 CEST 2014,55
1E5MCTtXn7n2svpZ1bDHZXndY9K7qQeqZP,168,98,1378143989,1378143989,7973.7192033655365,7966.627436974466,54,131,Mon Mar 24 18:51:06 CET 2014,Sat Mar 29 20:16:43 CET 2014,5
1BtcBoSSnqe8mFJCUEyCNmo3EcF8Yzhpnc,5717,2198,4457038330,4457038330,16570.993165138938,16628.029082857487,359,377,Mon Sep 01 18:14:20 CEST 2014,Sat Jul 29 19:11:39 CEST 2017,1062
1ponziUjuCVdB167ZmTWH48AURW1vE64q,3422,1298,34861505355,34859490365,245551.6758768339,245020.88871551657,1112,576,Tue Feb 04 01:10:10 CET 2014,Mon Jul 07 03:05:36 CEST 2014,153
1LaxoTrQy51LnB289VmoSAgN6J6UrJbfL9,736,1788,7057622884,7057541884,26272.132146082033,26174.1888933869,659,22611,Wed Aug 20 16:25:13 CEST 2014,Fri Dec 26 14:46:25 CET 2014,127
12PoNZiEtabwkCU4YFffshWNF1cRiAk5nq,598,29,14490078436,14490078436,77848.14346623134,78008.75419543171,224,179,Tue Feb 25 18:08:31 CET 2014,Sat Mar 01 19:37:41 CET 2014,4
139eeGkMGR6F9EuJQ3qYoXebfkBbNAsLtV,470,3945,73175122985,73168262579,386912.30752937554,390012.0875868546,456,494,Mon Mar 03 16:30:56 CET 2014,Fri Jun 20 09:49:12 CEST 2014,108
114Ap9G5nu78vESC648amPwSeqUorPtV5L,241,510,3880176202,3879978546,24594.313084430374,24476.775254816617,232,169,Sun Mar 02 20:45:56 CET 2014,Mon Apr 14 00:53:25 CEST 2014,42
1BmZW65ZoeLa1kbL9MPFLfkS818mqFUSma,579,456,608551900,607662868,1487.6668901440928,1478.1704338015695,197,185,Wed Apr 15 08:22:26 CEST 2015,Sat Dec 19 13:32:48 CET 2015,248
3GhhwqiW3p4AEwKT87kD3VTEceVzK4jXEb,0,0,0,0,0.0,0.0,0,0,Thu Jan 01 00:59:59 CET 1970,Thu Jan 01 01:00:00 CET 1970,0
1AQp51H22WHDzLgK64NoUo3Bg3T183QR22,114,1,356126991,50000000,8193.456263726315,1178.7519,90,2,Tue May 02 22:31:23 CEST 2017,Thu May 25 13:28:42 CEST 2017,22
178BzARKjkszrTyx4TxBKHhzGLZijdE26e,2264,2095,17630501590,17630481590,230038.96357909305,234387.255636933,1628,5,Mon Dec 26 12:28:23 CET 2016,Mon Jul 24 01:23:04 CEST 2017,209
19YZYfMB3mfX8AixzV7aLqXuViDcntrfcK,40,7,162693831,162693831,416.83792107209024,414.03348860054825,6,13,Sun May 03 20:53:32 CEST 2015,Thu Jun 02 10:08:01 CEST 2016,395
1BsjsaHST2Qohs8ZHxNHeZ1UfWhtxoKHEN,952,219,3128068950,3128068404,37774.13594011538,37936.48640799644,645,240,Mon Oct 31 10:42:03 CET 2016,Tue Aug 22 19:21:14 CEST 2017,295
1FNtgGsHhymmEUMXrMiFeMtZbuagnnS59c,16,15,78978552,77635605,3149.423201811165,3101.4719141519827,16,27,Thu Aug 03 22:54:05 CEST 2017,Wed Aug 23 21:26:59 CEST 2017,19
1zmeu5BeWBprWyPv5ntNZKR7uThXaG9ic,60,82,351312351,350198549,2516.9829414980336,2493.9195375001586,38,66,Tue Sep 29 20:08:18 CEST 2015,Mon Aug 21 00:28:02 CEST 2017,691
1CpVAEg4BgVzjiHshgeZfitZLV1t1zo6Qg,75,89,4738216200,4738207008,51448.316757923145,51875.59821148905,53,35,Tue May 31 21:15:09 CEST 2016,Tue Aug 01 20:58:57 CEST 2017,426
1FXqE2ixnnSB1kvwbMtWma5xQ2bVbkSq3f,46001,41121,298543336071504,298543336034552,1.335025402246207E9,1.3356934387969093E9,7003,53131,Wed Jul 30 11:14:08 CEST 2014,Fri Dec 30 04:53:29 CET 2016,883
1PayoutRrC8wxxZ9ygmeaRj3qTPug8tDYu,6,47,90097090,90097090,430.2668443509034,431.81890479917615,2,31,Sat Aug 30 13:38:39 CEST 2014,Sat Dec 06 00:12:39 CET 2014,97
1EaSVdRuzcz4yjnTmibabyyrczvaQS8hAJ,83,55,967402130,966989655,21775.63858538051,21783.156351397003,66,2,Mon Jul 25 11:19:52 CEST 2016,Fri Aug 18 21:21:00 CEST 2017,389
