GiniIncomeClass,GiniSendClass,GiniIncomeValue,GiniSendValue,totNumTransacion,inNumTransaction,outNumTransaction,paying,paid,numberAddressesPaidAfterTheyPaid,lifeAddress,activityDay,frequentUse,moreTransaction,inPerCent,mediaIncomeV,mediaSendV,devStandardIncomeV,devStandardSendV,varianzaSendV,varianzaIncomeV,totalSendBTC,totalIncomeBTC,totalSendUSD,totalIncomeUSD,maxNumTransRec,maxDiffDay,minResponsiveness,avgResponsiveness,maxResponsiveness,type
99.89,99.97,63.93,86.63,5244,1070,4174,1035,481,3,203,201,FALSO,VERO,20.40,44913840.00,11513610.00,87504122.25,111987334.44,12541178900000000.00,13656723600000000.00,48057774514,48057774514,149568.26,155540.71,23,7835620352,0.00,6538.00,86102.00,P
99.79,99.85,78.95,88.87,1317,491,826,489,233,0,127,127,FALSO,VERO,37.28,36403976.00,21639284.00,99463390.49,108082085.36,11681743000000000.00,11899727700000000.00,17874055035,17874351332,64506.15,64766.55,24,2739391541,0.00,11254.00,216945.00,P
99.22,99.86,73.20,67.28,19736,9791,9945,1430,593,24,493,493,VERO,VERO,49.61,89074576.00,87692736.00,174063297.88,158787173.21,25213240400000000.00,25215308500000000.00,872104542465,872118851011,4294586.02,4279844.92,1177,7641835994,0.00,2676.00,3876626.00,P
98.87,100.00,80.80,82.15,24706,6901,17805,6833,1453,35,370,344,VERO,VERO,27.93,44817180.00,17370626.00,236261397.46,190700878.83,36367219000000000.00,37119495000000000.00,309283824365,309283834365,1873933.11,1896145.35,341,6519233691,0.00,904.00,1078808.00,P
97.92,99.43,73.92,78.92,246,48,198,47,64,3,31,30,FALSO,VERO,19.51,27211216.00,6596658.50,52213810.38,19799678.12,392027166000000.00,816987400000000.00,1306138495,1306138495,7752.29,7834.53,10,142583814,0.00,8048.00,56623.00,P
97.86,99.43,70.33,72.22,1629,1443,186,301,287,271,246,71,VERO,VERO,88.58,30905856.00,239767600.00,63136614.84,411925470.26,169682613000000000.00,213305823000000000.00,44596777613,44597177613,263458.41,265999.55,423,409853628,0.00,7273.00,1026370.00,P
92.62,94.13,53.62,43.65,266,168,98,54,131,32,10,9,VERO,VERO,63.16,8203235.00,14062696.00,8599823.89,11223935.00,125976718000000.00,160309956000000.00,1378143989,1378143989,7935.32,7973.72,125,17259144,0.00,8970.00,387689.00,P
98.04,98.92,80.82,68.79,7915,5717,2198,369,377,51,1066,591,VERO,VERO,72.23,779607.75,2027772.20,3728110.84,7014646.51,49205154000000.00,50763162000000.00,4457038330,4457038330,16947.51,16570.99,216,190740000,0.00,11996.00,1245610.00,P
97.26,99.00,73.99,63.03,4720,3422,1298,1114,576,522,950,950,VERO,VERO,72.50,10187462.00,26856336.00,32411362.93,54939539.02,3018354300000000.00,3296202180000000.00,34859490365,34861505355,244872.63,245551.68,2273,457889568,0.00,21494.00,4257381.00,P
97.65,99.75,87.53,91.93,2524,736,1788,659,22611,102,424,352,VERO,VERO,29.16,9589165.00,3947165.80,35101148.15,21889440.68,479147927000000.00,510980614000000.00,7057541884,7057622884,26158.69,26272.13,88,243420940,0.00,6216.00,134601.00,P
94.43,96.31,43.21,41.45,627,598,29,224,179,175,25,23,VERO,VERO,95.37,24230894.00,499657952.00,18681991.67,371226180.31,137808879000000000.00,363839633000000000.00,14490078436,14490078436,78014.67,77848.14,579,80374436,0.00,79400.00,1727920.00,P
99.78,99.98,77.15,94.68,4415,470,3945,456,494,24,450,450,FALSO,VERO,10.65,155691712.00,18547072.00,440561098.19,184366959.26,33991148600000000.00,52799931000000000.00,73168262579,73175122985,391113.09,386912.31,23,4968375843,0.00,2771.00,42746.00,P
83.19,96.19,69.19,76.03,751,241,510,232,169,1,398,396,FALSO,VERO,32.09,16100314.00,7607812.00,30505696.17,34352715.31,1180108570000000.00,1252229790000000.00,3879978546,3880176202,24272.95,24594.31,23,543039556,0.00,45834.00,3222732.00,P
93.29,99.59,76.09,73.84,1035,579,456,218,185,176,328,328,FALSO,VERO,55.94,1051039.10,1332593.10,3152423.16,3533159.96,12483223900000.00,12562498300000.00,607662868,608551900,1477.48,1487.67,23,23670000,0.00,31482.00,373766.00,P
84.12,0.00,67.53,0.00,115,114,1,113,2,0,111,111,FALSO,VERO,99.13,3123920.80,50000000.00,6911113.00,0.00,0.00,2197366870000000.00,50000000,356126991,0.00,8193.46,5,49000000,67845.00,67845.00,67845.00,P
92.08,91.45,72.60,72.63,4359,2264,2095,2022,5,0,216,204,VERO,VERO,51.94,7787323.50,8415499.00,23984827.32,31161590.24,971048890000000.00,971439260000000.00,17630481590,17630501590,234521.57,230038.96,85,963483396,0.00,874.00,31849.00,P
23.13,85.71,92.39,59.63,47,40,7,40,13,0,404,14,FALSO,FALSO,85.11,4067345.50,23241974.00,14326455.39,26969051.69,727329760000000.00,1094996340000000.00,162693831,162693831,443.48,416.84,8,79990000,0.00,133781.00,716221.00,P
97.24,98.93,74.32,64.93,1171,952,219,937,240,2,297,294,FALSO,VERO,81.30,3285781.50,14283414.00,8268833.00,22210167.59,493291523000000.00,614239710000000.00,3128068404,3128068950,38317.01,37774.14,41,97930000,0.00,23015.00,531907.00,P
92.19,91.56,60.90,60.56,31,16,15,16,27,0,21,2,FALSO,FALSO,51.61,4936159.00,5175706.50,7055998.51,7224135.43,52188131000000.00,52245513000000.00,77635605,78978552,3087.70,3149.42,4,6000000,340.00,5444.00,14680.00,P
98.33,98.75,67.43,76.68,142,60,82,41,66,0,695,642,FALSO,VERO,42.25,5855206.50,4270713.50,9112992.75,9377270.97,87933206000000.00,90443824000000.00,350198549,351312351,2621.90,2516.98,2,51888188,0.00,133992.00,1127082.00,P
75.59,97.08,58.31,74.30,164,75,89,69,35,1,435,183,FALSO,VERO,45.73,63176184.00,53238288.00,95455830.35,98847861.70,9770901300000000.00,9869660900000000.00,4738207008,4738216200,54819.47,51448.32,7,169934979,0.00,58726.00,325562.00,P
77.78,95.43,53.45,72.32,53,6,47,2,31,1,107,15,FALSO,FALSO,11.32,15016181.00,1916959.40,14802334.18,3520729.40,12395533600000.00,183985158000000.00,90097090,90097090,423.88,430.27,1,21982520,0.00,130850.00,782572.00,P
93.25,94.81,76.89,70.01,138,83,55,83,2,0,390,231,FALSO,VERO,60.14,11655447.00,17581628.00,35024695.67,41901911.43,1755770150000000.00,1790889560000000.00,966989655,967402130,21856.90,21775.64,12,11000000,699.00,149084.00,7056828.00,P
90.55,98.32,58.78,52.73,339,155,184,152,111,26,526,522,FALSO,VERO,45.72,299523.34,252228.66,468034.56,296780.98,88078959000.00,90315670000.00,46410071,46426110,373.14,365.85,12,2524860,0.00,57400.00,402768.00,P
27.22,41.67,35.79,39.30,25,13,12,13,17,0,121,10,FALSO,FALSO,52.00,229689.77,248830.58,294052.11,304400.02,92659376000.00,93025739000.00,2985967,2985967,38.44,35.78,1,300000,0.00,58215.00,341833.00,P
97.60,98.70,83.18,59.47,214,54,160,37,169,28,509,480,FALSO,VERO,25.23,125417616.00,42328456.00,288567223.20,49894736.26,2489484110000000.00,9393294300000000.00,6772551323,6772551323,16699.15,16220.55,3,174935228,0.00,397425.00,15611535.00,P
99.80,98.15,70.92,74.68,2867,1096,1771,5,671,3,214,153,VERO,VERO,38.23,18095848.00,11198792.00,49780809.25,30781434.30,947496030000000.00,995066280000000.00,19833020562,19833030562,138472.45,139726.20,766,823066359,0.00,84792.00,12193561.00,P
88.45,94.17,64.57,70.28,77,48,29,31,21,4,1240,1239,FALSO,FALSO,62.34,1552912.40,2570338.00,2825279.36,4937739.80,24381275200000.00,25416425300000.00,74539796,74539796,687.57,506.13,40,18100000,468.00,21386384.00,85513951.00,P
83.33,85.80,61.03,59.62,24,6,18,6,20,4,72,71,FALSO,FALSO,25.00,12892307.00,4297435.50,15753030.38,6045169.51,36544073000000.00,110415892000000.00,77353836,77353836,184.83,202.03,3,26483836,4028.00,108711.00,461382.00,P
91.99,94.92,60.68,53.07,204,172,32,170,62,1,186,186,FALSO,VERO,84.31,562246.75,3016212.80,994532.82,3357429.55,11272333600000.00,17294284600000.00,96518812,96706459,1056.56,1067.63,22,7408522,0.00,110427.00,1010544.00,P
95.79,90.28,75.62,72.69,3087,3075,12,2984,9,0,222,222,VERO,VERO,99.61,370898.50,39079520.00,1195423.32,68450067.30,4685411500000000.00,6183769400000000.00,468954283,1140517361,12533.12,16372.19,74,242991952,0.00,20421.00,92606.00,P
96.73,98.74,80.05,56.91,3544,3461,83,3346,6,0,463,423,VERO,VERO,97.66,332753.30,13847501.00,1956050.29,16083508.97,258679236000000.00,441327754000000.00,1149342627,1151663176,9678.26,9235.31,123,104616045,0.00,28589.00,409879.00,P
0.00,88.89,0.00,36.32,10,1,9,0,18,0,467,467,FALSO,FALSO,10.00,122418424.00,2100750080.00,0.00,1550549791.91,2404204490000000000.00,6318001600000000000.00,18906751132,122418422,2983.49,10.77,1,5887000000,410850.00,410850.00,410850.00,N
0.00,0.10,0.00,99.95,2014,1,2013,1,1,0,1,0,FALSO,VERO,0.05,1000000.00,496.77,0.00,22282.82,496524256.00,999523810000.00,1000000,1000000,0.00,0.00,1,0,798.00,798.00,798.00,N
95.62,93.75,16.74,23.50,59,43,16,5,17,0,23,7,FALSO,FALSO,72.88,118651168.00,318875008.00,50775787.91,141711359.37,20082107400000000.00,60171693000000000.00,5102000000,5102000000,901.58,844.71,4,326000000,1975.00,22513.00,57523.00,N
85.71,83.33,29.75,32.22,26,14,12,14,21,0,1,0,FALSO,FALSO,53.85,89714288.00,104666664.00,48796118.95,63557499.53,4039555520000000.00,4263128970000000.00,1256000000,1256000000,47.90,48.56,14,0,0.00,1412.00,2824.00,N
95.73,50.00,26.92,48.52,33,31,2,31,4,0,1656,1655,FALSO,FALSO,93.94,28387096.00,440000000.00,13599519.49,427000000.00,182329007000000000.00,351754179000000000.00,880000000,880000000,3994.32,159.48,3,867000000,20402718.00,20402718.00,20402718.00,N
92.56,87.50,91.50,100.00,61,53,8,49,9,2,781,779,FALSO,FALSO,86.89,166799.90,1103795.60,721381.52,2760212.39,7618772300000.00,8496733000000.00,8830365,8840395,1.76,0.86,14,5150713,0.00,6316.00,12507.00,N
98.08,97.73,65.44,62.39,100,54,46,50,60,0,256,167,FALSO,FALSO,54.00,18868896.00,22150442.00,34861413.87,36960245.99,1366059850000000.00,1376828270000000.00,1018920302,1018920302,100.83,104.32,6,73919302,1966.00,576396.00,10616821.00,N
