GiniIncomeClass,GiniSendClass,GiniIncomeValue,GiniSendValue,totNumTransaction,inNumTransaction,outNumTransaction,paying,paid,numberAddressesPaidAfterTheyPaid,lifeAddress,activityDay,frequentUse,moreTransaction,inPerCent,mediaIncomeV,mediaSendV,devStandardIncomeV,devStandardSendV,varianzaSendV,varianzaIncomeV,totalSendBTC,totalIncomeBTC,totalSendUSD,totalIncomeUSD,maxNumTransRec,maxDiffDay,minResponsiveness,avgResponsiveness,maxResponsiveness,rangoCluster,type
99.88,99.97,64.10,85.00,5320,1073,4247,1034,488,2,203,202,FALSO,VERO,20.17,44750984.00,11306281.00,87424450.37,110927818.16,12304991100000000.00,13423530500000000.00,48017774518,48017774518,149118.47,155352.17,23,7835620352,0.00,6478.00,86102.00,2,P
99.79,99.85,78.95,88.87,1317,491,826,489,233,0,127,127,FALSO,VERO,37.28,36403976.00,21639284.00,99463390.49,108082085.36,11681743000000000.00,11899727700000000.00,17874055035,17874351332,64506.15,64766.55,24,2739391541,0.00,11254.00,216945.00,1,P
99.32,98.74,73.91,78.28,22823,10519,12304,1540,8764,2433,493,493,VERO,VERO,46.09,89737192.00,76716112.00,185303469.64,193514573.47,37446673000000000.00,37617901000000000.00,943918981764,943933290310,4667985.96,4658008.17,1177,7641835994,0.00,2518.00,3876626.00,232,P
98.87,100.00,80.80,82.15,24706,6901,17805,6833,1453,35,370,344,VERO,VERO,27.93,44817180.00,17370626.00,236261397.46,190700878.83,36367219000000000.00,37119495000000000.00,309283824365,309283834365,1873933.11,1896145.35,341,6519233691,0.00,904.00,1078808.00,1,P
97.92,99.43,73.92,78.92,246,48,198,47,64,3,31,30,FALSO,VERO,19.51,27211216.00,6596658.50,52213810.38,19799678.12,392027166000000.00,816987400000000.00,1306138495,1306138495,7752.29,7834.53,10,142583814,0.00,8048.00,56623.00,1,P
97.86,99.43,70.33,72.22,1629,1443,186,301,287,271,246,71,VERO,VERO,88.58,30905856.00,239767600.00,63136614.84,411925470.26,169682613000000000.00,213305823000000000.00,44596777613,44597177613,263458.41,265999.55,423,409853628,0.00,7273.00,1026370.00,1,P
93.81,95.27,55.21,42.97,284,186,98,72,72,59,10,9,VERO,VERO,65.49,7678659.00,14573781.00,8400211.74,11478407.79,131753809000000.00,179296648000000.00,1428231245,1428231245,8242.82,8263.89,140,23625311,0.00,8438.00,387689.00,78,P
98.26,98.97,85.90,79.11,10077,7116,2961,649,569,62,1080,791,VERO,VERO,70.62,1513711.10,3637810.80,6197435.92,13963089.78,194967742000000.00,199478548000000.00,10771590786,10771590786,44622.54,42894.27,239,349137647,0.00,10581.00,597246.00,13,P
97.28,97.83,75.08,72.15,6311,3438,2873,1127,883,823,950,950,VERO,VERO,54.48,10743248.00,12855364.00,36025971.06,45783399.83,2096110200000000.00,2100593610000000.00,36933338241,36935363231,258280.92,258368.82,2273,1899348002,0.00,102.00,6289.00,33,P
99.37,99.87,87.53,100.00,4798,1849,2949,1028,30844,1130,424,355,VERO,VERO,38.54,85464600.00,53585620.00,333726357.86,480058617.57,230461606000000000.00,231476524000000000.00,158024014931,158024095931,563401.30,570106.28,286,4868640991,0.00,3254.00,134601.00,491,P
94.43,96.31,43.21,41.45,627,598,29,224,179,175,25,23,VERO,VERO,95.37,24230894.00,499657952.00,18681991.67,371226180.31,137808879000000000.00,363839633000000000.00,14490078436,14490078436,78014.67,77848.14,579,80374436,0.00,79400.00,1727920.00,1,P
99.78,99.98,77.15,94.68,4415,470,3945,456,494,24,450,450,FALSO,VERO,10.65,155691712.00,18547072.00,440561098.19,184366959.26,33991148600000000.00,52799931000000000.00,73168262579,73175122985,391113.09,386912.31,23,4968375843,0.00,2771.00,42746.00,1,P
83.19,96.19,69.19,76.03,751,241,510,232,169,1,398,396,FALSO,VERO,32.09,16100314.00,7607812.00,30505696.17,34352715.31,1180108570000000.00,1252229790000000.00,3879978546,3880176202,24272.95,24594.31,23,543039556,0.00,45834.00,3222732.00,1,P
93.29,99.59,76.09,73.84,1035,579,456,218,185,176,328,328,FALSO,VERO,55.94,1051039.10,1332593.10,3152423.16,3533159.96,12483223900000.00,12562498300000.00,607662868,608551900,1477.48,1487.67,23,23670000,0.00,31482.00,373766.00,1,P
84.12,0.00,67.53,0.00,115,114,1,113,2,0,111,111,FALSO,VERO,99.13,3123920.80,50000000.00,6911113.00,0.00,0.00,2197366870000000.00,50000000,356126991,0.00,8193.46,5,49000000,67845.00,67845.00,67845.00,1,P
92.08,91.45,72.60,72.63,4359,2264,2095,2022,5,0,216,204,VERO,VERO,51.94,7787323.50,8415499.00,23984827.32,31161590.24,971048890000000.00,971439260000000.00,17630481590,17630501590,234521.57,230038.96,85,963483396,0.00,874.00,31849.00,1,P
92.85,98.10,85.81,75.94,200,142,58,123,73,3,880,602,FALSO,VERO,71.00,8322379.00,20375506.00,22182596.17,37466773.63,1403758920000000.00,1549037000000000.00,1181779575,1181779575,3311.14,3219.07,9,135280705,0.00,491585.00,14168834.00,10,P
97.21,99.31,74.30,71.04,1262,1040,222,1024,109,16,297,297,FALSO,VERO,82.41,3529281.80,16533586.00,8777556.23,30010096.54,900605650000000.00,1069717640000000.00,3670456686,3670457232,46593.67,42668.66,41,156441655,0.00,21562.00,531907.00,180,P
99.83,99.74,82.80,87.25,1143,760,383,594,640,8,27,23,VERO,VERO,66.49,11869740.00,20165484.00,72228148.89,168654273.20,28444269200000000.00,28513078800000000.00,7723380474,9021005869,238346.29,288849.03,281,1094285579,0.00,2334.00,17559.00,63,P
98.48,98.84,66.15,75.22,154,66,88,43,71,0,799,757,FALSO,VERO,42.86,5669448.50,4239428.00,8733809.44,9076982.00,82391608000000.00,84436566000000.00,373069734,374183536,2681.10,2572.47,2,38445788,0.00,123651.00,1127082.00,2,P
81.52,87.28,71.15,86.16,672,248,424,232,90,6,812,409,FALSO,VERO,36.90,125948232.00,73667792.00,284164415.25,235821856.80,55612108000000000.00,58345370000000000.00,31235047159,31235127222,163227.59,158569.50,8,489912600,0.00,27393.00,325562.00,11,P
98.99,99.22,83.96,80.65,789,411,378,230,377,51,919,718,VERO,VERO,52.09,17604548.00,19141058.00,46161729.88,44743683.20,2001996190000000.00,2004358020000000.00,7235316385,7235468440,32960.06,33246.11,62,249542964,0.00,28130.00,1005315.00,14,P
99.89,99.95,88.83,90.14,364909,309790,55119,236181,195966,6430,1209,1009,VERO,VERO,84.90,528071264.00,2967630340.00,2190482692.60,13582505229.93,184541300000000000000.00,190284970000000000000.00,163578795046738,163661333587698,2495229092.71,2590142359.67,2732,476067813196,0.00,350.00,41141.00,6623,P
90.55,98.32,58.78,52.73,339,155,184,152,111,26,526,522,FALSO,VERO,45.72,299523.34,252228.66,468034.56,296780.98,88078959000.00,90315670000.00,46410071,46426110,373.14,365.85,12,2524860,0.00,57400.00,402768.00,1,P
44.44,88.89,42.96,38.32,27,15,12,15,10,0,218,217,FALSO,FALSO,55.56,201251.67,251564.58,283199.86,297566.32,88545714000.00,91077100000.00,3018775,3018775,41.79,36.01,2,160943,0.00,58215.00,341833.00,10,P
97.52,98.94,79.88,74.74,569,385,184,270,171,99,509,482,FALSO,VERO,67.66,45904464.00,96050128.00,125613081.47,211979023.40,44935103000000000.00,47449695000000000.00,17673224041,17673224041,44720.72,43257.01,12,1202434658,0.00,161180.00,15611535.00,2,P
97.26,97.83,74.25,70.89,6302,3429,2873,1118,883,823,950,950,VERO,VERO,54.41,10298447.00,12290819.00,32806993.26,33729794.08,1137691200000000.00,1141668750000000.00,35311353825,35313378815,248252.13,248345.09,2273,1899348002,0.00,19903.00,4257381.00,10,P
86.28,95.54,77.51,81.37,172,89,83,68,57,22,1299,1298,FALSO,VERO,51.74,3382162.80,3626655.50,9760720.99,12098474.79,146373140000000.00,146432867000000.00,301012494,301012494,2944.98,2269.64,40,120060000,0.00,3228626.00,61891455.00,2,P
83.33,85.80,61.03,59.62,24,6,18,6,20,4,72,71,FALSO,FALSO,25.00,12892307.00,4297435.50,15753030.38,6045169.51,36544073000000.00,110415892000000.00,77353836,77353836,184.83,202.03,3,26483836,4028.00,108711.00,461382.00,1,P
91.47,97.50,64.01,54.10,302,262,40,252,44,1,186,186,FALSO,VERO,86.75,729306.40,4772015.50,1441625.98,4996674.16,24966749700000.00,41310245000000.00,190880614,191078261,2018.93,2060.33,31,16788066,0.00,54105.00,1010544.00,41,P
95.88,92.31,75.96,71.72,3325,3312,13,3212,8,0,236,236,VERO,VERO,99.61,373801.40,42156312.00,1195847.41,70609002.40,4985631900000000.00,6731408800000000.00,548032104,1238036600,13408.37,17339.47,82,253225692,0.00,18720.00,92606.00,4,P
96.73,98.74,80.05,56.91,3544,3461,83,3346,6,0,463,423,VERO,VERO,97.66,332753.30,13847501.00,1956050.29,16083508.97,258679236000000.00,441327754000000.00,1149342627,1151663176,9678.26,9235.31,123,104616045,0.00,28589.00,409879.00,1,P
97.65,88.00,47.57,38.87,65,55,10,37,14,1,470,470,FALSO,FALSO,84.62,357834240.00,1962465660.00,337598185.58,1545826206.12,2389578790000000000.00,4964420300000000000.00,19624656197,19680883991,3237.45,2941.47,8,5902000000,30206.00,830462.00,6819307.00,8,N
0.00,0.10,0.00,99.95,2014,1,2013,1,1,0,1,0,FALSO,VERO,0.05,1000000.00,496.77,0.00,22282.82,496524256.00,999523810000.00,1000000,1000000,0.00,0.00,1,0,798.00,798.00,798.00,1,N
97.07,96.71,27.22,22.92,154,117,37,69,32,0,927,915,FALSO,VERO,75.97,128525024.00,406417056.00,74534515.07,179425256.39,32193421300000000.00,109417376000000000.00,15037429335,15037429335,8003.81,2196.04,4,1012000000,1975.00,1994904.00,68878876.00,18,N
82.56,87.63,75.71,72.40,136,80,56,80,102,10,4,2,FALSO,VERO,58.82,26737498.00,38196424.00,47548066.08,62361109.42,3888910350000000.00,4020215820000000.00,2139000000,2139000000,82.13,82.68,46,785000000,0.00,3652.00,22879.00,11,N
97.37,83.33,40.16,75.94,113,107,6,102,7,0,1675,1674,FALSO,VERO,94.69,29420564.00,524666624.00,22208880.08,1025975558.42,1052625770000000000.00,1297894590000000000.00,3148000000,3148000000,13351.59,392.95,7,2817000000,2351.00,4325499.00,12964971.00,6,N
94.52,92.59,93.83,46.38,193,175,18,127,13,4,1621,1621,FALSO,VERO,90.67,114553.90,1101880.50,579333.82,1054479.57,1111927290000.00,2086740820000.00,19833847,20046937,30.91,4.94,16,2269330,0.00,13539.00,72429.00,5,N
