address,GiniIncomeValue,GiniSendValue,GiniIncomeClass,GiniSendClass,NumTransaction
1Ee9ZiZkmygAXUiyeYKRSA3tLe4vNYEAgA,63,86,99,99,5244
1MzNQ7HV8dQ6XQ52zBGYkCZkkWv2Pd3VG6,78,88,99,99,1317
1FyedPPk923wRfmVphV1CLt3bVLGxHZXpK,73,67,99,99,19736
145SmDToAhtfcBQhNxfeM8hnS6CBeiRukY,80,82,98,99,24706
1ponziUjuCVdB167ZmTWH48AURW1vE64q,74,63,97,99,4720
139eeGkMGR6F9EuJQ3qYoXebfkBbNAsLtV,77,94,99,99,4415
114Ap9G5nu78vESC648amPwSeqUorPtV5L,69,76,83,96,751
1FuypAdeC7mSmYBsQLbG9XV261bnfgWbgB,73,78,97,99,246
1F8ZKpjMDpnpF79mZ1pxZRoNKZgXm4Tf1d,70,72,97,99,1629
12PoNZiEtabwkCU4YFffshWNF1cRiAk5nq,43,41,94,96,627
1LaxoTrQy51LnB289VmoSAgN6J6UrJbfL9,87,91,97,99,2524
1E5MCTtXn7n2svpZ1bDHZXndY9K7qQeqZP,53,43,92,94,266
1BtcBoSSnqe8mFJCUEyCNmo3EcF8Yzhpnc,80,68,98,98,7913
MEDIA,"70,7692307692308",73,"96,0769230769231","98,0769230769231","5699,53846153846"
DEVIAZIONE STANDARD,"11,8894480258326","16,7332005306815","4,44337593993461","1,65637850251377","7753,10350349442"
