address,GiniIncomeValue,GiniSendValue,GiniIncomeClass,GiniSendClass
14o3HbKWdgpeMrX6fwWE95nR6XRBFMKsfp,30,46,66,50
15suUFFQTgpY4RTihQeGoWVMrGw9idWh9Q,66,66,91,91
1LgsbKRKTcw7gYohUwntSUh6rtEWShxSH8,1,51,6,91
1HAJ4CWGEyTgFeqAua45WC6zfHjN73htvX,34,82,53,66
14U4mixmouFRT2vZoQ5uLoCE3Q5ZDuCjpp,23,25,60,62
1GoBZR4NutYzgDC1XNX7Vf2RTGECMMBvtR,33,36,63,66
1EeEBhiKRrGjizyhSDPJFK6KhuUjN49Hnq,72,79,52,64
175JZYkiXFyc1HsL8aygeyKTBzkcWJJzfB,36,36,73,73
16sk9KuVfzisB9nLduSYYRyQQFovVDQmtJ,61,55,94,93
12CfvrGesULiojEKsgJEXQtMWyv7epKR5f,85,85,9,9
1CrVBWtWc6GZPxoYiqdQ3PWe792STiSGB1,37,37,37,37
1HZNsUqQxKVLmfPfCAzLwrnVDzx8CxwxnM,95,82,48,83
1FuKwwe9QVx2nu8mwKM1C6oM9j9B3hTzXw,64,64,83,83
1FjSGe2yeJhbFbygCcNiNsq4wgz7TyyNjN,66,64,87,86
1CMgkhVxRMSRCPTQTjgadcC5TgkoLxGiT9,38,43,89,89
149iLTM499LvvktTSbub77dJYvZ7YVGtXo,5,48,13,89
1LCeGQwjym4Xh5uyRmsW5ryfrinX4dURDp,49,46,61,71
13wZknpKnQfQXbtMzAqsyQNNGqiSjx6nEi,55,69,86,95
1MLmEL3MV6Ee9ovEUvTMt8mxHWnJRgzspA,22,32,67,74
1B1wPLyrJ831sg1D8hnZLBG7SejXbqMMrH,1,59,6,71
1EWqJkoaeu1PWyuVoRKMR7wp75cmqYVe8,82,80,79,82
19kPqM3eiyQgrvvzDfoLQZ4PYBsvEttFSS,81,81,84,84
1E7mjcGdxJhwXMFafta6rtDsn3iw8YUYQq,82,82,77,77
1CXj74NwhUTUSSAHz77dFKv3eUKN7sH3pL,86,86,84,84
1HYEchP7MkSY4tGDy73UzAKhe5CmEaqnDA,83,83,81,81
16DS4LV88Dj1EVhdZGQTPyky9WN3dS6VHS,76,76,75,75
