address,GiniIncomeValue,GiniSendValue,GiniIncomeClass,GiniSendClass
18qYFmMp1AvGibYR4wQcp95f4P6BRcmP4r,37,37,76,76,
16MG5HwausXz4dSi4JCzXUX7oeudrg51Y8,93,90,79,85,
135rPfBYUGXpn8hhLEmaVUDwvbm3SLM5TV,85,83,79,77,
18KiH4iBn5VjtiwGyjgAFsEBLn1A8qTauh,19,22,41,81,
14rnn1tqFmbmBfHA775rubZAqJ82SyGwwf,75,66,94,95,
1JpRcGczWR1ACimiXjLuxYF22JcoFJfKyu,84,80,80,79,
1EeEBhiKRrGjizyhSDPJFK6KhuUjN49Hnq,72,79,52,64,
16sk9KuVfzisB9nLduSYYRyQQFovVDQmtJ,61,55,94,93,
17asVKkzRGTFvvGH9dMGQaHe78xzfvgSSA,81,79,92,91,
1NfPjFYhQvzNkAGmNM1Z1GF7pbmmFCZ16,24,24,55,55,
1EuMa4dhfCK8ikgQ4emB7geSBgWK2cEdBG,95,49,93,50,
1BJdYUxwQTV3mTuArm2KGEutB7umCfy93K,70,70,76,76,
16k9if6hVQUdA5XmYHqytrSYubdCDX5iXa,76,68,84,83,
1359nMnjWShXDWtZEZZVxP1haHRAnkYquD,81,84,87,89,
16r7gfMecotoNbstCc5a2363K1TGqv3ftb,82,85,93,89,
1KMd92y2i7BSP2DNx2SnNNKQHDzvjsrq9S,62,62,94,93,
1Aa2xuPdRM6mLgzgTxntMdPM7gCkMKoqAX,20,61,77,85,
1LgsbKRKTcw7gYohUwntSUh6rtEWShxSH8,1,51,6,91,
1Puu6LJFYjTc1e5VgamT4oZap36vWRsjto,37,33,85,88,
17r4TMtwofxJEQ6phzxyeq6wnZrUcmz9ad,41,41,76,76,
1AiUqMJmEvRFTZMA9itzvHwQu3tsjwFKDv,40,40,76,76,
16xuYmDbPwkJiAVaHrACBPVdJ7Wkf3xC5B,76,77,94,96,
1CHHSwTyPe7frg8fy4YXRrFg1EGqfUAPDb,46,42,89,86,
13HdY9HknEiXy1Bemi95xRLBHtDQoFj7g4,81,74,85,92,
17v4AR81oFJLAG8jHDKJKNKjSvY2QAmf1V,88,75,83,85,
1QBMmD24baHgusrqUSXc9s1uALtHeuJsjK,65,0,66,0,
14U4mixmouFRT2vZoQ5uLoCE3Q5ZDuCjpp,23,25,60,62,
1EVuZLWeK5uSgCFu4NPKESFYyfuHuoq9mM,41,32,49,83,
1KqUb9fsEpLv5K5EeX39bopPmm2U79vEG4,60,48,77,89,
1LtxCbsHH1nzFG9MmzU8ZVWydMkiDqEihW,90,68,61,83,
17EFfhuSVVP2zd1sbr7fF24xP22APqs6Lm,40,37,64,76,
1MifMqtqqwMMAbb6zr8u6qEzWqq3CQeGUr,86,85,89,89,
19Nzg21hQQDAY5GTdTTuUVPA4MaE7AusXz,25,52,76,91,
16ihwsJP56njL4wY2dWyUJibh2Pv2exM6d,43,43,94,94,
14RPwsfArYDwPT6wxVsT5dmpFvEdu7pnkx,55,60,52,78,
1KuDFPXDYUtwqCE1DvBbBT3GgD4dWaS1f8,69,67,87,85,
1HZNsUqQxKVLmfPfCAzLwrnVDzx8CxwxnM,95,82,48,83,
1nHBbVFepCvvuVcVp9NVpRJgSH4ycjNxP,12,45,30,93,
1DNtKMFWgYMAvmVvQf1G2HbaYqAedy82DG,52,79,59,90,
1JYmqzWp9kwQni5LBsXRS4SQbofsP4KtFr,18,39,30,51,
19jzBxijUeLvcMVpUYXcRr5kGG3ThWgx4P,76,0,93,0,
13wZknpKnQfQXbtMzAqsyQNNGqiSjx6nEi,55,69,86,95,
1HgHJZgTaEkgkNX7CH4T7cCokA4pkj3tT4,38,74,87,90,
1JfPbs97uzrJPDaC7414XvmYwz6p9yKgKM,62,55,86,66,
17EqVF35mdSUufVHFB3zaHrfzLoXJJT4iq,61,61,90,90,
1LGpwDU5djqsR1X14Tcass3y9fULTzxJq3,80,81,87,88,
