GiniIncomeClass,GiniSendClass,GiniIncomeValue,GiniSendValue,totNumTransacion,inNumTransaction,outNumTransaction,lifeAddress,activityDay,frequentUse,moreTransaction,inPerCent,mediaIncomeV,mediaSendV,devStandardIncomeV,devStandardSendV,varianzaSendV,varianzaIncomeV,totalSendV,totalIncomeV,maxNumTransRec,type
99.877,99.970,64.097,84.996,5320,1073,4247,203,203,0,1,20.169,44750984.000,11306281.000,87424450.370,110927818.160,12304991100000000.000,13423530500000000.000,48017774518,48017774518,23,P
99.788,99.849,78.947,88.866,1317,491,826,127,127,0,1,37.282,36403976.000,21639284.000,99463390.491,108082085.358,11681743000000000.000,11899727700000000.000,17874055035,17874351332,24,P
99.317,98.742,73.909,78.282,22823,10519,12304,493,427,1,1,46.089,89737192.000,76716112.000,185303469.637,193514573.471,37446673000000000.000,37617901000000000.000,943918981764,943933290310,1177,P
98.871,100.000,80.800,82.154,24706,6901,17805,370,105,1,1,27.932,44817180.000,17370626.000,236261397.457,190700878.828,36367219000000000.000,37119495000000000.000,309283824365,309283834365,341,P
97.278,97.825,75.083,72.154,6311,3438,2873,950,42,1,1,54.476,10743248.000,12855364.000,36025971.060,45783399.827,2096110200000000.000,2100593610000000.000,36933338241,36935363231,2273,P
99.777,99.976,77.154,94.680,4415,470,3945,450,109,0,1,10.646,155691712.000,18547072.000,440561098.188,184366959.258,33991148600000000.000,52799931000000000.000,73168262579,73175122985,23,P
83.191,96.191,69.185,76.031,751,241,510,398,80,0,1,32.091,16100314.000,7607812.000,30505696.174,34352715.310,1180108570000000.000,1252229790000000.000,3879978546,3880176202,23,P
97.917,99.429,73.921,78.920,246,48,198,31,31,0,1,19.512,27211216.000,6596658.500,52213810.377,19799678.124,392027166000000.000,816987400000000.000,1306138495,1306138495,10,P
97.859,99.428,70.330,72.224,1629,1443,186,246,55,1,1,88.582,30905856.000,239767600.000,63136614.838,411925470.261,169682613000000000.000,213305823000000000.000,44596777613,44597177613,423,P
94.426,96.314,43.208,41.453,627,598,29,25,25,1,1,95.375,24230894.000,499657952.000,18681991.668,371226180.306,137808879000000000.000,363839633000000000.000,14490078436,14490078436,579,P
99.372,99.873,87.526,180.740,4798,1849,2949,424,129,1,1,38.537,85464600.000,53585620.000,333726357.862,480058617.573,230461606000000000.000,231476524000000000.000,158024014931,158024095931,286,P
93.814,95.273,55.209,42.973,284,186,98,10,10,1,1,65.493,7678659.000,14573781.000,8400211.736,11478407.791,131753809000000.000,179296648000000.000,1428231245,1428231245,140,P
98.238,98.948,85.922,79.160,9997,7070,2927,906,725,1,1,70.721,1490066.200,3597462.800,6186475.693,13980372.861,195450741000000.000,199892039000000.000,10529806127,10534770127,239,P
97.700,75.242,91.918,57.131,20547,275,20272,1308,522,0,1,1.338,75117152.000,1018916.250,322834312.703,20425221.110,417184568000000.000,5907418800000000.000,20657220117,20657220117,12,D
97.700,75.242,91.918,57.131,20547,275,20272,1308,522,0,1,1.338,75117152.000,1018916.250,322834312.703,20425221.110,417184568000000.000,5907418800000000.000,20657220117,20657220117,12,D
79.499,75.467,97.764,99.129,10655,2755,7900,1735,652,1,1,25.856,936563520.000,326614976.000,11600142899.988,6868703322.531,47181047000000000000.000,47541704000000000000.000,2580253762943,2580253892022,603,D
98.283,99.061,87.283,96.641,1300,1035,265,2400,0,0,1,79.615,1289978880.000,4999535600.000,4552791758.061,19122534698.984,365671320000000000000.000,379432140000000000000.000,1324877164170,1335126988849,22,D
96.031,92.308,98.993,45.367,1215,1202,13,1581,1167,0,1,98.930,489538816.000,45258719000.000,5898311930.730,37935468430.263,1439099600000000000000.000,3443379000000000000000.000,588363371642,588419434411,25,D
