GiniIncomeClass,GiniSendClass,GiniIncomeValue,GiniSendValue,totNumTransacion,inNumTransaction,outNumTransaction,lifeAddress,activityDay,frequentUse,moreTransaction,inPerCent,mediaIncomeV,mediaSendV,devStandardIncomeV,devStandardSendV,varianzaSendV,varianzaIncomeV,totalSendV,totalIncomeV,maxNumTransRec,type
99.885,99.974,63.933,86.631,5244,1070,4174,203,203,FALSO,VERO,20.404,44913840.000,11513610.000,87504122.253,111987334.440,12541178900000000.000,13656723600000000.000,48057774514,48057774514,23,P
99.788,99.849,78.947,88.866,1317,491,826,127,127,FALSO,VERO,37.282,36403976.000,21639284.000,99463390.491,108082085.358,11681743000000000.000,11899727700000000.000,17874055035,17874351332,24,P
99.224,99.855,73.198,67.276,19736,9791,9945,493,427,VERO,VERO,49.610,89074576.000,87692736.000,174063297.879,158787173.213,25213240400000000.000,25215308500000000.000,872104542465,872118851011,1177,P
98.871,100.000,80.800,82.154,24706,6901,17805,370,105,VERO,VERO,27.932,44817180.000,17370626.000,236261397.457,190700878.828,36367219000000000.000,37119495000000000.000,309283824365,309283834365,341,P
97.257,99.002,73.993,63.032,4720,3422,1298,950,42,VERO,VERO,72.500,10187462.000,26856336.000,32411362.932,54939539.018,3018354300000000.000,3296202180000000.000,34859490365,34861505355,2273,P
99.777,99.976,77.154,94.680,4415,470,3945,450,109,FALSO,VERO,10.646,155691712.000,18547072.000,440561098.188,184366959.258,33991148600000000.000,52799931000000000.000,73168262579,73175122985,23,P
83.191,96.191,69.185,76.031,751,241,510,398,80,FALSO,VERO,32.091,16100314.000,7607812.000,30505696.174,34352715.310,1180108570000000.000,1252229790000000.000,3879978546,3880176202,23,P
97.917,99.429,73.921,78.920,246,48,198,31,31,FALSO,VERO,19.512,27211216.000,6596658.500,52213810.377,19799678.124,392027166000000.000,816987400000000.000,1306138495,1306138495,10,P
97.859,99.428,70.330,72.224,1629,1443,186,246,55,VERO,VERO,88.582,30905856.000,239767600.000,63136614.838,411925470.261,169682613000000000.000,213305823000000000.000,44596777613,44597177613,423,P
94.426,96.314,43.208,41.453,627,598,29,25,25,VERO,VERO,95.375,24230894.000,499657952.000,18681991.668,371226180.306,137808879000000000.000,363839633000000000.000,14490078436,14490078436,579,P
97.647,99.747,87.533,91.933,2524,736,1788,424,126,VERO,VERO,29.160,9589165.000,3947165.800,35101148.151,21889440.682,479147927000000.000,510980614000000.000,7057541884,7057622884,88,P
92.623,94.127,53.624,43.645,266,168,98,10,10,VERO,VERO,63.158,8203235.000,14062696.000,8599823.892,11223934.997,125976718000000.000,160309956000000.000,1378143989,1378143989,125,P
98.018,98.900,80.835,68.987,7856,5683,2173,905,696,VERO,VERO,72.340,775792.800,2026639.500,3729686.220,7043385.207,49609343000000.000,51173915000000.000,4403884830,4408848830,216,P
97.700,75.242,91.918,57.131,20547,275,20272,1308,522,FALSO,VERO,1.338,75117152.000,1018916.250,322834312.703,20421922.711,417049814000000.000,5907284100000000.000,20657220117,20657220117,12,D
75.312,75.511,97.987,101.214,9529,2526,7003,1735,652,VERO,VERO,26.509,772512640.000,278634528.000,11715433644.909,7053789837.289,49751234000000000000.000,50009123000000000000.000,1951376443943,1951376559808,603,D
98.736,98.967,89.127,130.220,489,331,158,2009,2009,FALSO,VERO,67.689,1937393410.000,3994774270.000,6037790040.033,15983282572.512,255465260000000000000.000,259698050000000000000.000,631174265745,641277155992,7,D
96.040,92.308,98.980,45.480,1198,1185,13,1581,1167,FALSO,VERO,98.915,496550624.000,45257712000.000,5940177201.724,38056510663.213,1448298100000000000000.000,3451860000000000000000.000,588350241439,588406304208,25,D
98.188,66.667,90.812,33.056,89,86,3,1092,97,FALSO,FALSO,96.629,15647171.000,445072896.000,75621228.001,278229753.632,77411795000000000.000,261818251000000000.000,1335218733,1345656680,4,D
96.104,94.860,80.109,66.521,283,226,57,1771,590,FALSO,VERO,79.859,2413653250.000,9569912800.000,7512128223.627,15748626909.072,248019280000000000000.000,299231300000000000000.000,545484911503,545484922503,8,D
32.847,99.261,98.279,78.020,25621,25468,153,2078,2078,VERO,VERO,99.403,15758157.000,2614504700.000,169514118.221,5828528074.102,33971738000000000000.000,40725207000000000000.000,400019118101,401347506585,10246,D
2.842,88.000,98.369,62.528,24672,24662,10,215,215,VERO,VERO,99.959,77630.910,173735840.000,1597060.694,216997996.010,47088127000000000.000,77245313000000000.000,1737358616,1913993851,10692,D
91.997,93.764,88.078,85.511,825,500,325,2358,36,FALSO,VERO,60.606,703105980.000,1081566460.000,2170800014.068,2879601325.220,8292117000000000000.000,8435304200000000000.000,351507700000,351551960290,14,D
92.521,89.256,63.675,53.253,30,19,11,1725,86,FALSO,FALSO,63.333,16877067300.000,29140451300.000,20568743116.277,28057597267.423,787228700000000000000.000,937619300000000000000.000,320544979680,320664297567,1,D
